path,level,slug,text
dev-dual-mode.md,2,obiettivo,"Obiettivo"
dev-dual-mode.md,2,domande-a-cui-risponde,"Domande a cui risponde"
dev-dual-mode.md,2,prerequisiti,"Prerequisiti"
dev-dual-mode.md,2,passi,"Passi"
dev-dual-mode.md,3,uso-rapido,"Uso rapido"
dev-dual-mode.md,3,dettagli-implementativi,"Dettagli implementativi"
dev-dual-mode.md,3,migrazione-a-cloud,"Migrazione a cloud"
dev-dual-mode.md,2,verify,"Verify"
doc-alignment-gate.md,2,vedi-anche,"Vedi anche"
docs-agentic-audit.md,2,1-principi-anti-allucinazione,"1) Principi anti-allucinazione"
docs-agentic-audit.md,2,2-struttura-minima-per-pagina-rag-first,"2) Struttura minima per pagina (RAG-first)"
docs-agentic-audit.md,3,21-troubleshooting-obbligatorio-best-practice,"2.1) Troubleshooting obbligatorio (best practice)"
docs-agentic-audit.md,2,domande-a-cui-risponde,"Domande a cui risponde"
docs-agentic-audit.md,2,3-front-matter-yaml-obbligatorio,"3) Front matter YAML (obbligatorio)"
docs-agentic-audit.md,3,32-migrazione-safe-di-file-legacy-soluzione-tecnica,"3.2) Migrazione “safe” di file legacy (soluzione tecnica)"
docs-agentic-audit.md,3,31-draft-hygiene-anti-rumore,"3.1) Draft hygiene (anti-rumore)"
docs-agentic-audit.md,2,4-tagging-tassonomia-vocabolario-controllato,"4) Tagging: tassonomia (vocabolario controllato)"
docs-agentic-audit.md,3,41-tag-base-sempre-presenti,"4.1 Tag “base” (sempre presenti)"
docs-agentic-audit.md,3,42-tag-specifici-facoltativi,"4.2 Tag “specifici” (facoltativi)"
docs-agentic-audit.md,3,43-tag-taxonomy-lint,"4.3 Tag taxonomy + lint"
docs-agentic-audit.md,2,5-what-first-orchestrazioni-e-intents,"5) WHAT-first: orchestrazioni e intents"
docs-agentic-audit.md,3,51-plan-diario-machine-readable,"5.1) Plan + Diario (machine-readable)"
docs-agentic-audit.md,2,6-kb-ricette-come-entrypoints-operativi,"6) KB: ricette come 'entrypoints' operativi"
docs-agentic-audit.md,2,7-gates-controlli-automatici-local-ci,"7) Gates: controlli automatici (local + CI)"
docs-agentic-audit.md,3,remediation-auto-fix-front-matter,"Remediation (auto-fix front matter)"
docs-agentic-audit.md,3,agent-ready-audit-a-monte,"Agent-ready audit (a monte)"
docs-agentic-audit.md,2,8-definition-of-done-doc-agentica,"8) Definition of Done (Doc agentica)"
docs-agentic-audit.md,2,9-audit-periodico-cosa-misurare,"9) Audit periodico (cosa misurare)"
docs-agentic-audit.md,2,collegamenti,"Collegamenti"
docs-agentic-audit.md,2,vedi-anche,"Vedi anche"
docs-conventions.md,2,1-nomi-di-file-e-cartelle,"1) Nomi di file e cartelle"
docs-conventions.md,3,11-legacy-file-non-conformi-e-migrazione,"1.1) Legacy (file non conformi) e migrazione"
docs-conventions.md,2,2-kebab-case-vs-snakecase,"2) kebab-case vs snake_case"
docs-conventions.md,3,21-quando-usare-kebab-case,"2.1) Quando usare kebab-case"
docs-conventions.md,3,22-quando-usare-snakecase,"2.2) Quando usare snake_case"
docs-conventions.md,2,3-quick-check-regex,"3) Quick check (regex)"
